Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:09:23.427300,11,,,,,,0,0,0,0,0,0
2020-03-11 12:09:28.118600,11,Asteroid.SinglePlayer.Connection,Red Player,74.0,30.0,,0,0,0,0,0,1
2020-03-11 12:09:30.766800,11,Asteroid.SinglePlayer.Exit,Red Player,77.0,23.0,,0,0,0,0,0,1
2020-03-11 12:09:30.776800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:09:49.513800,11,WhiteHole.SinglePlayer.Touch,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:09:51.030900,11,WhiteHole.SinglePlayer.Exit,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:09:51.040900,11,,,,,,0,0,0,0,0,0
2020-03-11 12:10:25.599900,11,WhiteHole.SinglePlayer.Touch,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:10:29.089100,11,WhiteHole.SinglePlayer.Trigger,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:10:29.099100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:10:38.589600,11,Asteroid.SinglePlayer.Connection,Red Player,36.0,67.0,,0,0,0,0,0,1
2020-03-11 12:10:39.890700,11,Asteroid.SinglePlayer.Exit,Red Player,34.0,69.0,,0,0,0,0,0,1
2020-03-11 12:10:39.900700,11,,,,,,0,0,0,0,0,0
2020-03-11 12:10:42.233800,11,WhiteHole.SinglePlayer.Touch,Red Player,27.0,79.0,,0,1,0,0,0,0
2020-03-11 12:10:42.473900,11,Asteroid.SinglePlayer.Connection,Red Player,26.0,77.0,,0,1,0,0,0,1
2020-03-11 12:10:42.758900,11,Asteroid.SinglePlayer.Connection,Blue Player,20.0,74.0,,0,1,0,0,1,1
2020-03-11 12:10:43.125900,11,WhiteHole.SinglePlayer.Exit,Red Player,27.0,79.0,,0,1,0,0,1,1
2020-03-11 12:10:43.135900,11,,,,,,0,0,0,0,1,1
2020-03-11 12:10:43.264900,11,WhiteHole.SinglePlayer.Touch,Red Player,27.0,79.0,,0,1,0,0,1,1
2020-03-11 12:10:43.372900,11,Asteroid.SinglePlayer.Exit,Blue Player,21.0,76.0,,0,1,0,0,1,1
2020-03-11 12:10:43.382900,11,,,,,,0,1,0,0,0,1
2020-03-11 12:10:43.571900,11,Asteroid.SinglePlayer.Exit,Red Player,23.0,78.0,,0,1,0,0,0,1
2020-03-11 12:10:43.581900,11,,,,,,0,1,0,0,0,0
2020-03-11 12:10:44.285000,11,WhiteHole.SinglePlayer.Exit,Red Player,27.0,79.0,,0,1,0,0,0,0
2020-03-11 12:10:44.295000,11,,,,,,0,0,0,0,0,0
2020-03-11 12:10:44.618000,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
