Time,Event,Player.Color,Particle.Type,WhiteHole.Position.X,WhiteHole.Position.Y,Particle.Count,Planet.Id,Planet.Core,Planet.Position.X,Planet.Position.Y,Asteroid.Id,Asteroid.Position.X,Asteroid.Position.Y,Trial Id,Particle.1.Type,Particle.2.Type,WhiteHole.1.Position.X,WhiteHole.1.Position.Y,WhiteHole.2.Position.X,WhiteHole.2.Position.Y,Star.Id,Star.Orbit.Count,Star.Position.X,Star.Position.Y,Planet.Count,BlackHole.Id,BlackHole.Position.X,BlackHole.Position.Y,Object.Id
2020/03/11 10:25:44.8571,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,5951","63,28644",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8601,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,98999","59,7998",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8721,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,14228","60,43114",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8761,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,75789","63,26656",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8811,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,94024","59,80478",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8921,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,01976","60,53567",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8961,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,92651","63,22457",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9011,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,89049","59,80975",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9111,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,94437","60,59998",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9151,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,13088","63,17009",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9191,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,84074","59,81473",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9291,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,87655","60,65784",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9321,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,27758","63,11801",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9361,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,79099","59,8197",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9491,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,7156","60,78668",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9521,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,40919","63,07193",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9551,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,74123","59,82468",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9661,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,63554","60,8476",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9701,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,53942","63,0263",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9741,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,69148","59,82965",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9851,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,57296","60,89522",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9891,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,64121","62,99065",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.9921,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,64173","59,83463",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0021,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,51751","60,9374",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0051,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,73415","62,95737",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0081,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,59198","59,8396",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0201,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,4628","60,9772",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0241,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"28,93404","62,8766",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0281,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"21,54223","59,84457",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0391,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,42012","61,00748",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0421,Asteroid.SinglePlayer.Exit,Blue Player,,,,,,,,,Asteroid 1(Clone),"29,02975","62,83792",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0541,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,28878","61,10038",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0651,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,28878","61,10038",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0751,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,23773","61,13649",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.0851,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,23773","61,13649",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1011,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,18438","61,17144",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1171,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,07123","61,23854",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1351,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"25,01081","61,27294",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1491,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,9523","61,29692",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1671,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,88847","61,32308",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1851,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,82872","61,34112",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.1991,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,7672","61,35697",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.2181,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,70632","61,37265",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.2351,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,65873","61,38492",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.2491,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,57995","61,39518",4,,,,,,,,,,,,,,,
2020/03/11 10:25:45.2661,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"24,4965","61,40523",4,,,,,,,,,,,,,,,
