Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:30.5917,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5957,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6087,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6117,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6257,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6297,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6417,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6467,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6587,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6627,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6757,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6798,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.6918,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.6968,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.7088,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.7128,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.7248,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.7288,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.7428,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.7448,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.7588,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.7628,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.7758,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.7788,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.7918,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.7958,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8088,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.8128,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8258,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.8288,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8418,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.8458,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8598,Red Player,42,45,(42+45j)
2020/03/11 09:35:30.8628,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8758,Red Player,42,46,(42+46j)
2020/03/11 09:35:30.8788,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.8918,Red Player,42,46,(42+46j)
2020/03/11 09:35:30.8958,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9088,Red Player,42,46,(42+46j)
2020/03/11 09:35:30.9128,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9258,Red Player,42,46,(42+46j)
2020/03/11 09:35:30.9288,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9418,Red Player,42,46,(42+46j)
2020/03/11 09:35:30.9448,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9588,Red Player,43,46,(43+46j)
2020/03/11 09:35:30.9628,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9758,Red Player,43,46,(43+46j)
2020/03/11 09:35:30.9788,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.9928,Red Player,43,46,(43+46j)
2020/03/11 09:35:30.9958,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0088,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0118,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0258,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0288,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0428,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0458,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0588,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0628,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0748,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0778,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.0928,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.0968,Blue Player,35,44,(35+44j)
